Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Duration
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Consumer,West,Furniture,Tables,1044.63,3,0.0,240.2649,5
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,West,Office Supplies,Binders,11.648,2,0.2,4.2224,4
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,West,Technology,Accessories,90.57,3,0.0,11.7741,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,East,Furniture,Furnishings,124.2,3,0.2,15.525,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,East,Office Supplies,Art,86.304,6,0.2,9.7092,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,East,Office Supplies,Binders,6.858,6,0.7,-5.715,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,East,Office Supplies,Art,15.76,2,0.2,3.546,4
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,4
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,Central,Technology,Phones,1097.544,7,0.2,123.4737,2
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,4
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,4
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Central,Furniture,Chairs,212.058,3,0.3,-15.147,4
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Central,Technology,Phones,371.168,4,0.2,41.7564,4
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,Central,Technology,Phones,147.168,4,0.2,16.5564,5
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,West,Office Supplies,Storage,77.88,2,0.0,3.894,5
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,South,Office Supplies,Storage,95.616,2,0.2,9.5616,4
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,Central,Technology,Accessories,45.98,2,0.0,19.7714,2
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,5
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,East,Technology,Accessories,45.0,3,0.0,4.95,5
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,East,Technology,Phones,21.8,2,0.0,6.104,5
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,4
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,4
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,4
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,Central,Furniture,Chairs,89.99,1,0.0,17.0981,4
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,6
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,East,Technology,Phones,1029.95,5,0.0,298.6855,6
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,East,Office Supplies,Storage,208.56,6,0.0,52.14,1
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,East,Office Supplies,Paper,32.4,5,0.0,15.552,1
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,East,Furniture,Chairs,319.41,5,0.1,7.098,1
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,East,Office Supplies,Paper,14.56,2,0.0,6.9888,1
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,East,Technology,Accessories,30.0,2,0.0,3.3,1
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,East,Office Supplies,Binders,48.48,4,0.2,16.362,1
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,East,Office Supplies,Art,1.68,1,0.0,0.84,1
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,West,Technology,Accessories,13.98,2,0.0,6.1512,6
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,West,Office Supplies,Binders,25.824,6,0.2,9.3612,6
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,West,Office Supplies,Paper,146.73,3,0.0,68.9631,6
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,West,Furniture,Furnishings,79.76,4,0.0,22.3328,6
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Home Office,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,5
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,West,Office Supplies,Art,1113.024,8,0.2,111.3024,5
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,West,Technology,Phones,167.968,4,0.2,62.988,5
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Consumer,South,Office Supplies,Paper,75.88,2,0.0,35.6636,2
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Consumer,East,Office Supplies,Binders,4.616,1,0.2,1.731,5
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Consumer,Central,Office Supplies,Paper,19.05,3,0.0,8.763,3
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,South,Furniture,Chairs,831.936,8,0.2,-114.3912,6
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,South,Furniture,Furnishings,97.04,2,0.2,1.213,6
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,South,Office Supplies,Storage,72.784,1,0.2,-18.196,6
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2
US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Consumer,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,5
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,3
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,South,Office Supplies,Binders,16.74,3,0.0,8.0352,3
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,West,Office Supplies,Art,14.9,5,0.0,4.172,4
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,West,Office Supplies,Storage,21.39,1,0.0,6.2031,4
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Corporate,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,5
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Home Office,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,3
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,South,Furniture,Chairs,301.96,2,0.0,33.2156,2
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,Central,Technology,Accessories,19.99,1,0.0,6.7966,7
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,7
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Home Office,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,5
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,West,Office Supplies,Art,20.1,3,0.0,6.633,5
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,West,Technology,Phones,73.584,2,0.2,8.2782,5
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,West,Office Supplies,Paper,6.48,1,0.0,3.1104,5
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,5
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,5
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,5
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Home Office,West,Office Supplies,Binders,5.682,1,0.7,-3.788,6
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Home Office,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Consumer,West,Office Supplies,Binders,51.312,3,0.2,17.9592,3
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Corporate,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,5
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,4
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Central,Technology,Accessories,95.976,3,0.2,-10.7973,4
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,4
CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,Consumer,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,3
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,West,Technology,Accessories,238.896,6,0.2,-26.8758,4
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,4
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,4
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,South,Technology,Accessories,74.112,8,0.2,17.6016,5
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,South,Technology,Phones,27.992,1,0.2,2.0994,5
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,South,Office Supplies,Art,3.304,1,0.2,1.0738,5
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,Home Office,Central,Technology,Accessories,339.96,5,0.2,67.992,5
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,Corporate,East,Furniture,Furnishings,41.96,2,0.0,10.9096,5
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,Central,Office Supplies,Art,75.96,2,0.0,22.788,7
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,7
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,Consumer,West,Furniture,Tables,787.53,3,0.0,165.3813,4
US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,Corporate,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,5
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,East,Furniture,Furnishings,47.04,3,0.0,18.3456,3
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,East,Office Supplies,Binders,30.84,4,0.0,13.878,3
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,East,Office Supplies,Storage,226.56,6,0.0,63.4368,3
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,3
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,East,Technology,Phones,68.04,7,0.0,19.7316,3
US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,Home Office,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2
US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,Consumer,Central,Furniture,Tables,617.7,6,0.5,-407.682,5
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,7
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,West,Office Supplies,Storage,243.992,7,0.2,30.499,7
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,West,Furniture,Chairs,81.424,2,0.2,-9.1602,4
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,West,Furniture,Furnishings,238.56,3,0.0,26.2416,4
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,East,Technology,Phones,59.97,5,0.4,-11.994,3
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,East,Office Supplies,Paper,78.304,2,0.2,29.364,3
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,3
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,West,Office Supplies,Paper,20.04,3,0.0,9.6192,6
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,West,Office Supplies,Paper,35.44,1,0.0,16.6568,6
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,West,Office Supplies,Art,11.52,4,0.0,3.456,6
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,6
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,West,Office Supplies,Binders,76.176,3,0.2,26.6616,6
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,6
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,West,Furniture,Furnishings,43.12,14,0.0,20.6976,6
CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,Corporate,East,Furniture,Furnishings,82.8,2,0.2,10.35,2
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,West,Office Supplies,Art,8.82,3,0.0,2.3814,5
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,5
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,West,Office Supplies,Paper,143.7,3,0.0,68.976,5
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,Consumer,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,5
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,Consumer,West,Office Supplies,Storage,671.93,7,0.0,20.1579,5
CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,Home Office,East,Furniture,Furnishings,93.888,4,0.2,12.9096,6
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Central,Technology,Phones,384.45,11,0.0,103.8015,4
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Central,Technology,Phones,149.97,3,0.0,5.9988,4
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Central,Furniture,Chairs,1951.84,8,0.0,585.552,4
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,4
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Home Office,West,Office Supplies,Appliances,157.92,5,0.2,17.766,3
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Home Office,West,Technology,Phones,203.184,2,0.2,15.2388,3
CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,Corporate,West,Office Supplies,Paper,58.38,7,0.0,26.271,2
CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,Corporate,West,Office Supplies,Paper,105.52,4,0.0,48.5392,2
CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,Corporate,West,Office Supplies,Storage,80.88,6,0.0,21.0288,2
CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,Home Office,West,Office Supplies,Art,6.63,3,0.0,1.7901,6
CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,Consumer,West,Furniture,Chairs,457.568,2,0.2,51.4764,5
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,Consumer,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,4
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,Consumer,Central,Technology,Phones,944.93,7,0.0,236.2325,4
CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,Consumer,West,Office Supplies,Paper,5.98,1,0.0,2.691,1
CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,Consumer,East,Technology,Accessories,54.384,2,0.2,1.3596,3
CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,Consumer,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,4
CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,Consumer,West,Office Supplies,Binders,27.68,2,0.2,9.688,4
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,Central,Office Supplies,Art,9.936,3,0.2,2.7324,4
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,Central,Technology,Machines,8159.952,8,0.4,-1359.992,4
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,4
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,4
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,Central,Office Supplies,Art,32.064,6,0.2,6.8136,4
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,4
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,Central,Technology,Phones,143.976,3,0.2,8.9985,4
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,West,Office Supplies,Paper,20.94,3,0.0,9.8418,4
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,West,Office Supplies,Paper,110.96,2,0.0,53.2608,4
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,West,Furniture,Chairs,340.144,7,0.2,21.259,4
US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,Corporate,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,5
US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,Corporate,Central,Office Supplies,Labels,20.16,4,0.2,6.552,5
US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,Consumer,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,4
US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,Consumer,East,Furniture,Chairs,396.802,7,0.3,-11.3372,2
US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,Consumer,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,2
CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,Home Office,East,Office Supplies,Art,3.28,1,0.0,1.4104,4
CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,Corporate,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,4
CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,Corporate,Central,Technology,Accessories,408.744,7,0.2,76.6395,4
CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,Home Office,South,Technology,Phones,503.96,4,0.0,131.0296,5
CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,Home Office,South,Technology,Phones,149.95,5,0.0,41.986,5
CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,Home Office,South,Technology,Accessories,29.0,2,0.0,7.25,5
CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,Consumer,East,Office Supplies,Binders,7.16,2,0.0,3.4368,4
CA-2014-123260,2014-08-26,2014-08-30,Standard Class,FM-14290,Home Office,West,Technology,Accessories,176.8,8,0.0,22.984,4
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,Corporate,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,6
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,Corporate,Central,Office Supplies,Paper,20.016,3,0.2,6.255,6
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,Home Office,East,Furniture,Bookcases,899.136,4,0.2,112.392,2
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,Home Office,East,Technology,Phones,71.76,6,0.0,20.0928,2
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,Home Office,East,Office Supplies,Paper,51.84,8,0.0,24.8832,2
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,Home Office,East,Furniture,Bookcases,626.352,3,0.2,46.9764,2
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,Home Office,East,Office Supplies,Art,19.9,5,0.0,6.567,2
CA-2015-131457,2015-10-31,2015-11-06,Standard Class,MZ-17515,Corporate,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116,6
CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,Consumer,East,Office Supplies,Art,7.408,2,0.2,1.2038,4
CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,Consumer,East,Office Supplies,Art,6.048,3,0.2,1.5876,4
CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,Home Office,East,Office Supplies,Storage,46.26,3,0.0,12.0276,7
US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,Corporate,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,7
US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,Corporate,East,Office Supplies,Paper,16.056,3,0.2,5.8203,7
